School,FGR,GSR
Air Force,,86
Akron,61,72
Alabama,70,92
Alabama at Birmingham,57,66
Appalachian State,65,84
Arizona,64,78
Arizona State,56,80
Arkansas,49,74
Arkansas State,53,69
Army,,91
Auburn,65,80
Ball State,41,41
Baylor,60,80
Boise State,51,65
Boston College,77,92
Bowling Green,68,86
Brigham Young,55,68
Buffalo,73,81
California,64,75
Central Florida,54,92
Central Michigan,68,80
Charlotte,71,91
Cincinnati,69,78
Clemson,67,93
Coastal Carolina,51,79
Colorado,64,85
Colorado State,63,82
Connecticut,61,81
Duke,86,97
East Carolina,69,87
Eastern Michigan,64,82
Florida,61,84
Florida Atlantic,53,77
Florida International,49,75
Florida State,63,87
Fresno State,56,67
Georgia,67,83
Georgia Southern,64,68
Georgia State,56,91
Georgia Tech,67,82
Hawaii,74,78
Houston,40,58
Illinois,80,87
Indiana,66,86
Iowa,72,86
Iowa State,71,82
Kansas,70,83
Kansas State,64,81
Kent State,64,74
Kentucky,58,75
Liberty,57,66
Louisiana Tech,67,88
Louisiana-Lafayette,75,80
Louisiana-Monroe,38,47
Louisville,62,81
LSU,55,78
Marshall,48,76
Maryland,74,85
Massachusetts,64,75
Memphis,61,88
Miami (Fla.),63,88
Miami (Ohio),71,73
Michigan,76,87
Michigan State,73,87
Middle Tennessee,66,91
Minnesota,69,84
Mississippi,52,73
Mississippi State,58,75
Missouri,65,83
Navy,,91
Nebraska,69,89
Nevada,58,71
Nevada-Las Vegas,63,74
New Mexico,50,74
New Mexico State,66,81
North Carolina,67,81
North Carolina State,65,78
North Texas,67,80
Northern Illinois,78,89
Northwestern,91,97
Notre Dame,84,97
Ohio,69,84
Ohio State,76,91
Oklahoma,59,84
Oklahoma State,48,66
Old Dominion,61,82
Oregon,63,85
Oregon State,61,80
Penn State,77,88
Pittsburgh,61,72
Purdue,73,82
Rice,84,90
Rutgers,77,87
San Diego State,62,72
San Jose State,50,64
South Alabama,68,74
South Carolina,67,84
South Florida,55,91
Southern California,61,77
Southern Methodist,69,79
Southern Mississippi,58,81
Stanford,93,95
Syracuse,75,86
Tennessee,51,80
Texas,64,77
Texas A&M,69,79
Texas Christian,76,94
Texas State,53,77
Texas Tech,60,75
Texas-El Paso,71,84
Texas-San Antonio,48,63
Toledo,66,76
Troy,55,74
Tulane,72,97
Tulsa,63,91
UCLA,74,89
Utah,61,84
Utah State,68,86
Vanderbilt,75,85
Virginia,77,87
Virginia Tech,73,97
Wake Forest,75,89
Washington,70,90
Washington State,71,79
West Virginia,65,92
Western Kentucky,70,80
Western Michigan,71,81
Wisconsin,75,88
Wyoming,60,84
