stadium,city,state,team,capacity,built,expanded
Falcon Stadium,Colorado Springs,CO,Air Force,46692,1962,
Summa Field at InfoCision Stadium,Akron,OH,Akron,30000,2009,
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,101821,1929,2010
Kidd Brewer Stadium,Boone,NC,Appalachian State,24050,1962,2009
Arizona Stadium,Tucson,AZ,Arizona,51811,1928,1988
Sun Devil Stadium Frank Kush Field,Tempe,AZ,Arizona State,71706,1958,1998
Donald W. Reynolds Razorback Stadium,Fayetteville,AR,Arkansas,72000,1938,2006
Centennial Bank Stadium,Jonesboro,AR,Arkansas State,30964,1974,2002
Michie Stadium,West Point,NY,Army,38000,1924,2001
Jordan–Hare Stadium,Auburn,AL,Auburn,87451,1939,2004
Scheumann Stadium,Muncie,IN,Ball State,22500,1967,2007
McLane Stadium,Waco,TX,Baylor,45140,2014,
Albertsons Stadium,Boise,ID,Boise State,37000,1970,2012
Alumni Stadium,Chestnut Hill,MA,Boston College,44500,1957,1995
Doyt Perry Stadium,Bowling Green,OH,Bowling Green,23724,1966,
LaVell Edwards Stadium,Provo,UT,Brigham Young,63725,1964,1982
UB Stadium,Amherst,NY,Buffalo,29013,1993,
California Memorial Stadium,Berkeley,CA,California,62717,1923,2012
Bright House Networks Stadium,Orlando,FL,Central Florida,45323,2007,
Kelly/Shorts Stadium,Mount Pleasant,MI,Central Michigan,32885,1972,1997
Jerry Richardson Stadium,Charlotte,NC,Charlotte,15314,2013,
Nippert Stadium,Cincinnati,OH,Cincinnati,40000,1924,2015
Memorial Stadium,Clemson,SC,Clemson,81500,1942,2006
Folsom Field,Boulder,CO,Colorado,50183,1924,2003
Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Colorado State,34400,1968,2006
Rentschler Field,East Hartford,CT,Connecticut,40000,2003,
Wallace Wade Stadium,Durham,NC,Duke,33941,1929,2014
Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,50000,1963,2010
Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,30200,1969,1992
Ben Hill Griffin Stadium,Gainesville,FL,Florida,88548,1930,2003
FAU Stadium,Boca Raton,FL,Florida Atlantic,30000,2011,
FIU Stadium,Miami,FL,Florida International,23500,1995,2012
Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,Florida State,82300,1950,2003
Bulldog Stadium,Fresno,CA,Fresno State,41031,1980,1992
Sanford Stadium,Athens,GA,Georgia,92746,1929,2004
Paulson Stadium,Statesboro,GA,Georgia Southern,24300,1984,2014
Georgia Dome,Atlanta,GA,Georgia State,28155,1992,
Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,55000,1913,2003
Aloha Stadium,Honolulu,HI,Hawaii,50000,1975,2003
TDECU Stadium,Houston,TX,Houston,40000,2014,
Memorial Stadium,Champaign,IL,Illinois,60670,1923,2011
Memorial Stadium,Bloomington,IN,Indiana,52959,1960,2010
Kinnick Stadium,Iowa City,IA,Iowa,70585,1929,2006
Jack Trice Stadium,Ames,IA,Iowa State,61500,1975,2015
Memorial Stadium,Lawrence,KS,Kansas,50071,1921,1999
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,50000,1968,2005
Dix Stadium,Kent,OH,Kent State,25000,1969,2008
Commonwealth Stadium,Lexington,KY,Kentucky,62093,1973,1999
Joe Aillet Stadium,Ruston,LA,Louisiana Tech,30600,1968,1989
Cajun Field,Lafayette,LA,Louisiana-Lafayette,36900,1971,
Malone Stadium,Monroe,LA,Louisiana-Monroe,30427,1978,1993
Papa John's Cardinal Stadium,Louisville,KY,Louisville,55000,1998,2009
Tiger Stadium,Baton Rouge,LA,LSU,102321,1924,2014
Joan C. Edwards Stadium,Huntington,WV,Marshall,38019,1991,2000
Byrd Stadium,College Park,MD,Maryland,51802,1950,2009
Warren McGuirk Alumni Stadium,Hadley,MA,Massachusetts,17000,1965,2014
Liberty Bowl Memorial Stadium,Memphis,TN,Memphis,62380,1965,1987
Sun Life Stadium,Miami Gardens,FL,Miami (Fla.),65326,1987,2016
Yager Stadium,Oxford,OH,Miami (Ohio),24286,1983,2005
Michigan Stadium,Ann Arbor,MI,Michigan,107601,1927,2015
Spartan Stadium,East Lansing,MI,Michigan State,75005,1923,2005
"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Middle Tennessee,31000,1933,1998
TCF Bank Stadium,Minneapolis,MN,Minnesota,52525,2009,
Vaught–Hemingway Stadium,Oxford,MS,Mississippi,60580,1915,2002
Davis Wade Stadium,Starkville,MS,Mississippi State,61337,1914,2014
Faurot Field,Columbia,MO,Missouri,71168,1927,1997
Navy–Marine Corps Memorial Stadium,Annapolis,MD,Navy,34000,1959,2005
Memorial Stadium,Lincoln,NE,Nebraska,87091,1923,2013
Mackay Stadium,Reno,NV,Nevada,30000,1966,2016
Sam Boyd Stadium,Whitney,NV,Nevada-Las Vegas,36800,1971,1999
University Stadium,Albuquerque,NM,New Mexico,39224,1960,2007
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,30343,1978,2005
